flat_name,slug,issue_type,excel_value,db_value,details
K05C509,k05c509,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K05C604,k05c604,AVAILABLE_DATE_MISMATCH,2025-10-25,2024-10-03,"Excel: 2025-10-25, DB: 2024-10-03"
K05C604,k05c604,BOOKING_HOLD_STATUS_MISMATCH,Free -> 1,2,"Excel: Free (normalized: 1), DB: 2"
K05C604,k05c604,NEXT_BOOKING_STATUS_MISMATCH,Not Booked,Booked,"Excel: Not Booked, DB: Booked"
K05C604,k05c604,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Occupied,"Excel: Occupied & On Notice, DB: Occupied"
K05C604,k05c604,RENT_STATUS_MISMATCH,Yes -> 1,0,"Excel: Yes (normalized: 1), DB: 0"
K06A403,k06a403,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Vacant,"Excel: Occupied & On Notice, DB: Vacant"
K06A503,k06a503,AVAILABLE_DATE_MISSING_IN_DB,2025-10-19,NULL,"Excel has date 2025-10-19, but DB is NULL"
K06A503,k06a503,BOOKING_HOLD_STATUS_MISMATCH,Free -> 1,2,"Excel: Free (normalized: 1), DB: 2"
K06A503,k06a503,NEXT_BOOKING_STATUS_MISMATCH,Not Booked,Booked,"Excel: Not Booked, DB: Booked"
K06A503,k06a503,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Occupied,"Excel: Occupied & On Notice, DB: Occupied"
K06A503,k06a503,RENT_STATUS_MISMATCH,Yes -> 1,0,"Excel: Yes (normalized: 1), DB: 0"
K07A102,k07a102,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-08-14,"Excel is NULL, but DB has date 2025-08-14"
K07A201,k07a201,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Vacant,"Excel: Occupied & On Notice, DB: Vacant"
K07A302,k07a302,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K07A302,k07a302,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
